"","GEOID","NAME","geometry","latitude","longitude"
"47","24033800705","Census Tract 8007.05, Prince George's County, Maryland",c(-76.7808021093636, 38.7581100480285),-76.7808021093636,38.7581100480285
"48","24033800706","Census Tract 8007.06, Prince George's County, Maryland",c(-76.8216019323456, 38.7828921215337),-76.8216019323456,38.7828921215337
"49","24033800707","Census Tract 8007.07, Prince George's County, Maryland",c(-76.8016427615478, 38.802448107139),-76.8016427615478,38.802448107139
"50","24033800800","Census Tract 8008, Prince George's County, Maryland",c(-76.7422814026007, 38.7096791229251),-76.7422814026007,38.7096791229251
"51","24033800900","Census Tract 8009, Prince George's County, Maryland",c(-76.7262370149103, 38.6084730488952),-76.7262370149103,38.6084730488952
"52","24033801003","Census Tract 8010.03, Prince George's County, Maryland",c(-76.8604775993287, 38.6792062297457),-76.8604775993287,38.6792062297457
"53","24033801004","Census Tract 8010.04, Prince George's County, Maryland",c(-76.8553414625546, 38.7206368693781),-76.8553414625546,38.7206368693781
"54","24033801005","Census Tract 8010.05, Prince George's County, Maryland",c(-76.8336108890403, 38.7559517765808),-76.8336108890403,38.7559517765808
"55","24033801006","Census Tract 8010.06, Prince George's County, Maryland",c(-76.8229666372433, 38.7571261092429),-76.8229666372433,38.7571261092429
"56","24033801104","Census Tract 8011.04, Prince George's County, Maryland",c(-76.8743799397012, 38.8053386624929),-76.8743799397012,38.8053386624929
"57","24033801207","Census Tract 8012.07, Prince George's County, Maryland",c(-76.8689812423102, 38.7514214034089),-76.8689812423102,38.7514214034089
"58","24033801208","Census Tract 8012.08, Prince George's County, Maryland",c(-76.8884370763236, 38.7425312016374),-76.8884370763236,38.7425312016374
"59","24033801209","Census Tract 8012.09, Prince George's County, Maryland",c(-76.9037820016742, 38.7343243399941),-76.9037820016742,38.7343243399941
"60","24033801210","Census Tract 8012.10, Prince George's County, Maryland",c(-76.9219331263507, 38.768348618662),-76.9219331263507,38.768348618662
"61","24033801211","Census Tract 8012.11, Prince George's County, Maryland",c(-76.9035383360305, 38.7839179912343),-76.9035383360305,38.7839179912343
"62","24033801212","Census Tract 8012.12, Prince George's County, Maryland",c(-76.9153133759095, 38.7929299149596),-76.9153133759095,38.7929299149596
"63","24033801213","Census Tract 8012.13, Prince George's County, Maryland",c(-76.9393530009859, 38.7747132002104),-76.9393530009859,38.7747132002104
"64","24033801214","Census Tract 8012.14, Prince George's County, Maryland",c(-76.8612108882929, 38.7859819748833),-76.8612108882929,38.7859819748833
"65","24033801215","Census Tract 8012.15, Prince George's County, Maryland",c(-76.8519261203353, 38.7666460907192),-76.8519261203353,38.7666460907192
"66","24033801216","Census Tract 8012.16, Prince George's County, Maryland",c(-76.9138335365835, 38.7494689624652),-76.9138335365835,38.7494689624652
"67","24033801217","Census Tract 8012.17, Prince George's County, Maryland",c(-76.8934367540763, 38.7647382929009),-76.8934367540763,38.7647382929009
"68","24033801302","Census Tract 8013.02, Prince George's County, Maryland",c(-77.0394846397587, 38.6769243908147),-77.0394846397587,38.6769243908147
"69","24033801305","Census Tract 8013.05, Prince George's County, Maryland",c(-76.9682830993855, 38.7617882590678),-76.9682830993855,38.7617882590678
"70","24033801307","Census Tract 8013.07, Prince George's County, Maryland",c(-77.0136731394768, 38.7382991622232),-77.0136731394768,38.7382991622232
"71","24033801308","Census Tract 8013.08, Prince George's County, Maryland",c(-77.0004929799662, 38.7161849028469),-77.0004929799662,38.7161849028469
"72","24033801309","Census Tract 8013.09, Prince George's County, Maryland",c(-77.0317075061744, 38.7090995930404),-77.0317075061744,38.7090995930404
"73","24033801310","Census Tract 8013.10, Prince George's County, Maryland",c(-76.989573868082, 38.6596538365541),-76.989573868082,38.6596538365541
"74","24033801311","Census Tract 8013.11, Prince George's County, Maryland",c(-76.9492655635201, 38.7109369014195),-76.9492655635201,38.7109369014195
"75","24033801312","Census Tract 8013.12, Prince George's County, Maryland",c(-76.9806445436092, 38.7181721707614),-76.9806445436092,38.7181721707614
"76","24033801313","Census Tract 8013.13, Prince George's County, Maryland",c(-76.9772084495025, 38.7448639417248),-76.9772084495025,38.7448639417248
"77","24033801404","Census Tract 8014.04, Prince George's County, Maryland",c(-77.0217761387031, 38.781607996632),-77.0217761387031,38.781607996632
"78","24033801405","Census Tract 8014.05, Prince George's County, Maryland",c(-76.9895832889659, 38.797354338114),-76.9895832889659,38.797354338114
"79","24033801406","Census Tract 8014.06, Prince George's County, Maryland",c(-76.9774399293085, 38.7774108131377),-76.9774399293085,38.7774108131377
"80","24033801407","Census Tract 8014.07, Prince George's County, Maryland",c(-76.9494226839122, 38.78959406835),-76.9494226839122,38.78959406835
"81","24033801408","Census Tract 8014.08, Prince George's County, Maryland",c(-76.9633461005073, 38.7998639969564),-76.9633461005073,38.7998639969564
