"","GEOID","NAME","geometry","latitude","longitude"
"207","24033807000","Census Tract 8070, Prince George's County, Maryland",c(-76.9274414567311, 38.997880326985),-76.9274414567311,38.997880326985
"208","24033807102","Census Tract 8071.02, Prince George's County, Maryland",c(-76.9269201448558, 38.9716164143895),-76.9269201448558,38.9716164143895
"209","24033807200","Census Tract 8072, Prince George's County, Maryland",c(-76.9455981780652, 38.9922779390726),-76.9455981780652,38.9922779390726
"210","24033807301","Census Tract 8073.01, Prince George's County, Maryland",c(-76.9431335246067, 39.0118913726164),-76.9431335246067,39.0118913726164
"211","24033807304","Census Tract 8073.04, Prince George's County, Maryland",c(-76.9594170675878, 39.0249291454333),-76.9594170675878,39.0249291454333
"212","24033807305","Census Tract 8073.05, Prince George's County, Maryland",c(-76.9631978924963, 39.0123891620657),-76.9631978924963,39.0123891620657
"213","24033807404","Census Tract 8074.04, Prince George's County, Maryland",c(-76.9084688909966, 39.0374607873597),-76.9084688909966,39.0374607873597
"214","24033807405","Census Tract 8074.05, Prince George's County, Maryland",c(-76.928670655795, 39.0345201943126),-76.928670655795,39.0345201943126
"215","24033807407","Census Tract 8074.07, Prince George's County, Maryland",c(-76.9239172124164, 39.0666746568694),-76.9239172124164,39.0666746568694
"216","24033807408","Census Tract 8074.08, Prince George's County, Maryland",c(-76.884221290854, 39.0396050083647),-76.884221290854,39.0396050083647
"217","24033807409","Census Tract 8074.09, Prince George's County, Maryland",c(-76.9465309478057, 39.037501668349),-76.9465309478057,39.037501668349
"218","24033807410","Census Tract 8074.10, Prince George's County, Maryland",c(-76.9460303455542, 39.0461182744201),-76.9460303455542,39.0461182744201
