GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033801216,3770,162,1.4,96,,,,24033801216,,033801216,1.4,,033801216,96,,033801216,3770
24033801217,3986,387,6.2,90,,,,24033801217,,033801217,6.2,,033801217,90,,033801217,3986
24033801302,2638,997,1.7,62,,,,24033801302,,033801302,1.7,,033801302,62,,033801302,2638
24033801305,6423,456,2.5,93,,,,24033801305,,033801305,2.5,,033801305,93,,033801305,6423
24033801307,3909,414,4.1,89,,,,24033801307,,033801307,4.1,,033801307,89,,033801307,3909
24033801308,3743,304,0,92,,,,24033801308,,033801308,0,,033801308,92,,033801308,3743
24033801309,3467,736,0,79,,,,24033801309,,033801309,0,,033801309,79,,033801309,3467
24033801310,6194,1144,1.5,82,,,,24033801310,,033801310,1.5,,033801310,82,,033801310,6194
24033801311,7073,588,0.6,92,,,,24033801311,,033801311,0.6,,033801311,92,,033801311,7073
24033801312,4231,350,0.8,92,,,,24033801312,,033801312,0.8,,033801312,92,,033801312,4231
24033801313,3164,255,12.1,92,,,,24033801313,,033801313,12.1,,033801313,92,,033801313,3164
24033801404,5169,1025,2.4,80,,,,24033801404,,033801404,2.4,,033801404,80,,033801404,5169
24033801405,4136,596,12.3,86,,,,24033801405,,033801405,12.3,,033801405,86,,033801405,4136
24033801406,3126,205,3.9,93,,,,24033801406,,033801406,3.9,,033801406,93,,033801406,3126
24033801407,6574,736,0.7,89,,,,24033801407,,033801407,0.7,,033801407,89,,033801407,6574
24033801408,3246,114,8.9,96,,,,24033801408,,033801408,8.9,,033801408,96,,033801408,3246
24033801409,3121,197,6.4,94,,,,24033801409,,033801409,6.4,,033801409,94,,033801409,3121
24033801410,3287,276,0,92,,,,24033801410,,033801410,0,,033801410,92,,033801410,3287
24033801411,3688,123,2.2,97,,,,24033801411,,033801411,2.2,,033801411,97,,033801411,3688
24033801500,2603,250,2,90,,,,24033801500,,033801500,2,,033801500,90,,033801500,2603
24033801600,2318,80,15.5,97,,,,24033801600,,033801600,15.5,,033801600,97,,033801600,2318
24033801701,4267,87,12.5,98,,,,24033801701,,033801701,12.5,,033801701,98,,033801701,4267
24033801702,3944,103,15.9,97,,,,24033801702,,033801702,15.9,,033801702,97,,033801702,3944
